app_id,name,genre,price,release_date,rank_position,peak_in_game,snapshot_time
730,Counter-Strike 2,"Action, Free To Play",0.0,"21 Aug, 2012",1,1312089,2025-10-05T17:54:22.824558
570,Dota 2,"Action, Strategy, Free To Play",0.0,"Jul 9, 2013",2,804195,2025-10-05T17:54:22.824558
578080,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",0.0,"Dec 21, 2017",3,559798,2025-10-05T17:54:22.824558
431960,Wallpaper Engine,"Occasionnel, Indépendant, Animation & Modélisation, Conception & Illustration, Retouche photo, Utilitaires",2.39,16 nov. 2018,4,138592,2025-10-05T17:54:22.824558
1030300,Hollow Knight: Silksong,"Action, Adventure, Indie",19.99,"Sep 4, 2025",5,140632,2025-10-05T17:54:22.824558
1172470,Apex Legends™,"Action, Adventure, Free To Play",0.0,"Nov 4, 2020",6,156680,2025-10-05T17:54:22.824558
2767030,Marvel Rivals,"Action, Free To Play",0.0,"5 Dec, 2024",7,100958,2025-10-05T17:54:22.824558
3354750,skate.,"Action, Sports, Free To Play, Early Access",0.0,"Sep 16, 2025",8,72879,2025-10-05T17:54:22.824558
2507950,Delta Force,"Action, Adventure, Massively Multiplayer, Free To Play",0.0,"4 Dec, 2024",9,206103,2025-10-05T17:54:22.824558
236390,War Thunder,"Action, Massively Multiplayer, Simulation, Free To Play",0.0,"15 Aug, 2013",10,86186,2025-10-05T17:54:22.824558
3405340,Megabonk,"Action, Casual, Indie",429.0,"18 Sep, 2025",11,102407,2025-10-05T17:54:22.824558
413150,Stardew Valley,"Indie, RPG, Simulation",209.0,"26 Feb, 2016",12,120970,2025-10-05T17:54:22.824558
1203220,NARAKA: BLADEPOINT,"Action, Adventure, Massively Multiplayer",0.0,"11 Aug, 2021",13,100951,2025-10-05T17:54:22.824558
381210,Dead by Daylight,Action,7.99,"Jun 14, 2016",14,76159,2025-10-05T17:54:22.824558
252490,Rust,"Action, Adventure, Indie, Massively Multiplayer, RPG",699.0,"8 Feb, 2018",15,178991,2025-10-05T17:54:22.824558
553850,HELLDIVERS™ 2,Action,31.99,"Feb 8, 2024",16,61576,2025-10-05T17:54:22.824558
1938090,Call of Duty®,Action,0.0,"Oct 27, 2022",17,66009,2025-10-05T17:54:22.824558
1285190,Borderlands 4,"Action, Adventure, RPG",69.99,"Sep 11, 2025",18,96288,2025-10-05T17:54:22.824558
359550,Tom Clancy's Rainbow Six® Siege X,"Action, Free To Play",0.0,"Dec 1, 2015",19,59234,2025-10-05T17:54:22.824558
105600,Terraria,"Action, Adventure, Indie, RPG",192.0,"16 May, 2011",20,41540,2025-10-05T17:54:22.824558
550,Left 4 Dead 2,Action,77.0,"16 Nov, 2009",21,41182,2025-10-05T17:54:22.824558
271590,Grand Theft Auto V Legacy,"Action, Adventure",0.0,"13 Apr, 2015",22,84774,2025-10-05T17:54:22.824558
2246340,Monster Hunter Wilds,"Action, Adventure, RPG",48.99,"Feb 27, 2025",23,110683,2025-10-05T17:54:22.824558
1145350,Hades II,"Action, Indie, RPG",24.99,"25 Sep, 2025",24,80623,2025-10-05T17:54:22.824558
3527290,PEAK,"Action, Adventure, Indie",287.0,"16 Jun, 2025",25,43297,2025-10-05T17:54:22.824558
730,Counter-Strike 2,"Action, Free To Play",0.0,"21 Aug, 2012",1,1312089,2025-10-05T17:56:31.792588
570,Dota 2,"Action, Strategy, Free To Play",0.0,"Jul 9, 2013",2,804195,2025-10-05T17:56:31.792588
578080,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",0.0,"21 Dec, 2017",3,559798,2025-10-05T17:56:31.792588
431960,Wallpaper Engine,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities",4480.0,"16 Nov, 2018",4,138592,2025-10-05T17:56:31.792588
1030300,Hollow Knight: Silksong,"Action, Adventure, Indie",19.99,"Sep 4, 2025",5,140632,2025-10-05T17:56:31.792588
1172470,Apex Legends™,"Action, Adventure, Free To Play",0.0,"4 Nov, 2020",6,156680,2025-10-05T17:56:31.792588
2767030,Marvel Rivals,"Action, Free To Play",0.0,"5 Dec, 2024",7,100958,2025-10-05T17:56:31.792588
3354750,skate.,"Action, Sports, Free To Play, Early Access",0.0,"Sep 16, 2025",8,72879,2025-10-05T17:56:31.792588
2507950,Delta Force,"Action, Adventure, Massively Multiplayer, Free To Play",0.0,"Dec 4, 2024",9,206103,2025-10-05T17:56:31.792588
236390,War Thunder,"Action, Massively Multiplayer, Simulation, Free To Play",0.0,"15 Aug, 2013",10,86186,2025-10-05T17:56:31.792588
3405340,Megabonk,"Action, Casual, Indie",9.75,"18 Sep, 2025",11,102407,2025-10-05T17:56:31.792588
413150,Stardew Valley,"Indie, RPG, Simulation",11200.0,"26 Feb, 2016",12,120970,2025-10-05T17:56:31.792588
1203220,NARAKA: BLADEPOINT,"Action, Adventure, Massively Multiplayer",0.0,"11 Aug, 2021",13,100951,2025-10-05T17:56:31.792588
381210,Dead by Daylight,Action,7.99,"14 Jun, 2016",14,76159,2025-10-05T17:56:31.792588
252490,Rust,"Action, Adventure, Indie, Massively Multiplayer, RPG",699.0,"8 Feb, 2018",15,178991,2025-10-05T17:56:31.792588
553850,HELLDIVERS™ 2,Action,31.99,"Feb 8, 2024",16,61576,2025-10-05T17:56:31.792588
1938090,Call of Duty®,Action,0.0,"Oct 27, 2022",17,66009,2025-10-05T17:56:31.792588
1285190,Borderlands 4,"Action, Adventure, RPG",69.99,"Sep 11, 2025",18,96288,2025-10-05T17:56:31.792588
359550,Tom Clancy's Rainbow Six® Siege X,"Action, Free To Play",0.0,"1 Dec, 2015",19,59234,2025-10-05T17:56:31.792588
105600,Terraria,"Action, Adventure, Indie, RPG",4.99,"May 16, 2011",20,41540,2025-10-05T17:56:31.792588
550,Left 4 Dead 2,Action,77.0,"16 Nov, 2009",21,41182,2025-10-05T17:56:31.792588
271590,Grand Theft Auto V Legacy,"Action, Adventure",0.0,"13 Apr, 2015",22,84774,2025-10-05T17:56:31.792588
2246340,Monster Hunter Wilds,"Action, Adventure, RPG",41.99,"27 Feb, 2025",23,110683,2025-10-05T17:56:31.792588
1145350,Hades II,"Action, Indie, RPG",24.99,"25 Sep, 2025",24,80623,2025-10-05T17:56:31.792588
3527290,PEAK,"Action, Adventure, Indie",287.0,"16 Jun, 2025",25,43297,2025-10-05T17:56:31.792588
730,Counter-Strike 2,"Экшены, Бесплатные",0.0,21 авг. 2012 г.,1,1312089,2025-10-05T17:58:54.048795
570,Dota 2,"Action, Strategy, Free To Play",0.0,"Jul 9, 2013",2,804195,2025-10-05T17:58:54.048795
578080,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",0.0,"Dec 21, 2017",3,559798,2025-10-05T17:58:54.048795
431960,Wallpaper Engine,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities",3.99,"Nov 16, 2018",4,138592,2025-10-05T17:58:54.048795
1030300,Hollow Knight: Silksong,"Action, Adventure, Indie",16.75,"4 Sep, 2025",5,140632,2025-10-05T17:58:54.048795
1172470,Apex Legends™,"Action, Adventure, Free To Play",0.0,"Nov 4, 2020",6,156680,2025-10-05T17:58:54.048795
2767030,漫威争锋,"动作, 免费开玩",0.0,2024 年 12 月 5 日,7,100958,2025-10-05T17:58:54.048795
3354750,skate.,"Action, Sports, Free To Play, Early Access",0.0,"Sep 16, 2025",8,72879,2025-10-05T17:58:54.048795
2507950,Delta Force,"Action, Adventure, Massively Multiplayer, Free To Play",0.0,"4 Dec, 2024",9,206103,2025-10-05T17:58:54.048795
236390,War Thunder,"Action, Massively Multiplayer, Simulation, Free To Play",0.0,"15 Aug, 2013",10,86186,2025-10-05T17:58:54.048795
3405340,Megabonk,"Action, Casual, Indie",429.0,"18 Sep, 2025",11,102407,2025-10-05T17:58:54.048795
413150,Stardew Valley,"Indie, RPG, Simulation",209.0,"26 Feb, 2016",12,120970,2025-10-05T17:58:54.048795
1203220,NARAKA: BLADEPOINT,"Action, Adventure, Massively Multiplayer",0.0,"11 Aug, 2021",13,100951,2025-10-05T17:58:54.048795
381210,Dead by Daylight,Action,7.99,"Jun 14, 2016",14,76159,2025-10-05T17:58:54.048795
252490,Rust,"Action, Adventure, Indie, Massively Multiplayer, RPG",699.0,"8 Feb, 2018",15,178991,2025-10-05T17:58:54.048795
553850,HELLDIVERS™ 2,Action,31.99,"8 Feb, 2024",16,61576,2025-10-05T17:58:54.048795
1938090,Call of Duty®,Action,0.0,"Oct 27, 2022",17,66009,2025-10-05T17:58:54.048795
359550,Tom Clancy's Rainbow Six® Siege X,"Action, Free To Play",0.0,"Dec 1, 2015",19,59234,2025-10-05T17:58:54.048795
105600,Terraria,"Action, Adventure, Indie, RPG",2.89,"16 May, 2011",20,41540,2025-10-05T17:58:54.048795
550,Left 4 Dead 2,Action,77.0,"16 Nov, 2009",21,41182,2025-10-05T17:58:54.048795
271590,Grand Theft Auto V Legacy,"Action, Adventure",0.0,"13 Apr, 2015",22,84774,2025-10-05T17:58:54.048795
1145350,Hades II,"Action, Indie, RPG",1100.0,"25 Sep, 2025",24,80623,2025-10-05T17:58:54.048795
3527290,PEAK,"Action, Adventure, Indie",287.0,"16 Jun, 2025",25,43297,2025-10-05T17:58:54.048795
730,Counter-Strike 2,"Action, Free To Play",0.0,"21 Aug, 2012",1,1529240,2025-10-12T18:41:18.420275
570,Dota 2,"Action, Strategy, Free To Play",0.0,"9 Jul, 2013",2,836497,2025-10-12T18:41:18.420275
2807960,Battlefield™ 6,Action,99.9,"10 Oct, 2025",3,639332,2025-10-12T18:41:18.420275
578080,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",0.0,"Dec 21, 2017",4,678765,2025-10-12T18:41:18.420275
431960,Wallpaper Engine,"Казуальные игры, Инди, Анимация и моделирование, Дизайн и иллюстрация, Обработка фото, Утилиты",1500.0,16 ноя. 2018 г.,5,144818,2025-10-12T18:41:18.420275
1172470,Apex Legends™,"Action, Adventure, Free To Play",0.0,"4 Nov, 2020",6,178413,2025-10-12T18:41:18.420275
2767030,Marvel Rivals,"Action, Free To Play",0.0,"5 Dec, 2024",7,112146,2025-10-12T18:41:18.420275
1203220,NARAKA: BLADEPOINT,"Action, Adventure, Massively Multiplayer",0.0,"Aug 11, 2021",8,161472,2025-10-12T18:41:18.420275
1030300,Hollow Knight: Silksong,"Action, Adventure, Indie",19.99,"Sep 4, 2025",9,110506,2025-10-12T18:41:18.420275
2507950,Delta Force,"Action, Adventure, Massively Multiplayer, Free To Play",0.0,"4 Dec, 2024",10,234672,2025-10-12T18:41:18.420275
3405340,Megabonk,"Action, Casual, Indie",9.99,"Sep 18, 2025",11,105409,2025-10-12T18:41:18.420275
236390,War Thunder,"Action, Massively Multiplayer, Simulation, Free To Play",0.0,"Aug 15, 2013",12,81497,2025-10-12T18:41:18.420275
413150,Stardew Valley,"Indie, RPG, Simulation",14.99,"Feb 26, 2016",13,134558,2025-10-12T18:41:18.420275
3354750,skate.,"Action, Sports, Free To Play, Early Access",0.0,"Sep 16, 2025",14,51591,2025-10-12T18:41:18.420275
381210,Dead by Daylight,Action,19.99,"Jun 14, 2016",15,74384,2025-10-12T18:41:18.420275
1938090,Call of Duty®,Action,0.0,"Oct 27, 2022",16,68475,2025-10-12T18:41:18.420275
252490,Rust,"Action, Adventure, Indie, Massively Multiplayer, RPG",39.99,"Feb 8, 2018",17,158995,2025-10-12T18:41:18.420275
440,Team Fortress 2,"Action, Free To Play",0.0,"Oct 10, 2007",18,83814,2025-10-12T18:41:18.420275
271590,Grand Theft Auto V Legacy,"Action, Adventure",0.0,"Apr 13, 2015",19,86951,2025-10-12T18:41:18.420275
105600,Terraria,"Action, Adventure, Indie, RPG",9.99,"May 16, 2011",20,44075,2025-10-12T18:41:18.420275
359550,Tom Clancy's Rainbow Six® Siege X,"Action, Free To Play",0.0,"Dec 1, 2015",21,52747,2025-10-12T18:41:18.420275
227300,Euro Truck Simulator 2,"Indie, Simulation",4.99,"Oct 12, 2012",22,55978,2025-10-12T18:41:18.420275
553850,HELLDIVERS™ 2,Action,39.99,"Feb 8, 2024",23,43498,2025-10-12T18:41:18.420275
3240220,Grand Theft Auto V Enhanced,"Action, Adventure, Racing",116.5,"4 Mar, 2025",24,75302,2025-10-12T18:41:18.420275
1973530,Limbus Company,"Action, RPG, Strategy",0.0,"Feb 26, 2023",25,50699,2025-10-12T18:41:18.420275
730,Counter-Strike 2,"Action, Free To Play",0.0,"21 Aug, 2012",1,1529240,2025-10-12T18:43:43.948272
570,Dota 2,"Action, Strategy, Free To Play",0.0,"9 Jul, 2013",2,836497,2025-10-12T18:43:43.948272
2807960,Battlefield™ 6,Action,99.9,"10 Oct, 2025",3,639332,2025-10-12T18:43:43.948272
578080,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",0.0,"Dec 21, 2017",4,678765,2025-10-12T18:43:43.948272
431960,Wallpaper Engine,"Казуальные игры, Инди, Анимация и моделирование, Дизайн и иллюстрация, Обработка фото, Утилиты",1500.0,16 ноя. 2018 г.,5,144818,2025-10-12T18:43:43.948272
1172470,Apex Legends™,"Action, Adventure, Free To Play",0.0,"4 Nov, 2020",6,178413,2025-10-12T18:43:43.948272
2767030,Marvel Rivals,"Action, Free To Play",0.0,"5 Dec, 2024",7,112146,2025-10-12T18:43:43.948272
1203220,NARAKA: BLADEPOINT,"Action, Adventure, Massively Multiplayer",0.0,"Aug 11, 2021",8,161472,2025-10-12T18:43:43.948272
1030300,Hollow Knight: Silksong,"Action, Adventure, Indie",19.99,"Sep 4, 2025",9,110506,2025-10-12T18:43:43.948272
2507950,Delta Force,"Action, Adventure, Massively Multiplayer, Free To Play",0.0,"4 Dec, 2024",10,234672,2025-10-12T18:43:43.948272
